team_1,team_2,location,result,date,team_1_score,team_2_score
Los Angeles Kings,Carolina Hurricanes,home,W,2018-12-02,2,0
Montreal Canadiens,San Jose Sharks,home,L,2018-12-02,1,3
New York Rangers,Winnipeg Jets,home,L,2018-12-02,3,4
Washington Capitals,Anaheim Ducks,home,L,2018-12-02,5,6
Dallas Stars,Edmonton Oilers,home,W,2018-12-03,4,1
New Jersey Devils,Tampa Bay Lightning,home,L,2018-12-03,1,5
Nashville Predators,Buffalo Sabres,home,W,2018-12-03,2,1
Buffalo Sabres,Toronto Maple Leafs,home,L,2018-12-04,3,4
Columbus Blue Jackets,Calgary Flames,home,L,2018-12-04,6,9
Detroit Red Wings,Tampa Bay Lightning,home,L,2018-12-04,5,6
Florida Panthers,Boston Bruins,home,W,2018-12-04,5,0
Los Angeles Kings,Arizona Coyotes,home,L,2018-12-04,1,2
Montreal Canadiens,Ottawa Senators,home,W,2018-12-04,5,2
New York Islanders,Winnipeg Jets,home,L,2018-12-04,1,3
Pittsburgh Penguins,Colorado Avalanche,home,W,2018-12-04,6,3
Vancouver Canucks,Minnesota Wild,home,L,2018-12-04,2,3
Vegas Golden Knights,Washington Capitals,home,W,2018-12-04,5,3
Anaheim Ducks,Chicago Blackhawks,home,W,2018-12-05,4,2
San Jose Sharks,Carolina Hurricanes,home,W,2018-12-05,5,1
St Louis Blues,Edmonton Oilers,home,L,2018-12-05,2,3
Arizona Coyotes,Washington Capitals,home,L,2018-12-06,2,4
Calgary Flames,Minnesota Wild,home,W,2018-12-06,2,0
Florida Panthers,Colorado Avalanche,home,L,2018-12-06,2,5
Los Angeles Kings,New Jersey Devils,home,L,2018-12-06,3,6
Ottawa Senators,Montreal Canadiens,home,L,2018-12-06,2,5
Philadelphia Flyers,Columbus Blue Jackets,home,L,2018-12-06,3,4
Pittsburgh Penguins,New York Islanders,home,W,2018-12-06,6,2
Tampa Bay Lightning,Boston Bruins,home,W,2018-12-06,3,2
Toronto Maple Leafs,Detroit Red Wings,home,L,2018-12-06,4,5
Vancouver Canucks,Nashville Predators,home,W,2018-12-06,5,3
Vegas Golden Knights,Chicago Blackhawks,home,W,2018-12-06,4,3
Anaheim Ducks,Carolina Hurricanes,home,L,2018-12-07,1,4
Dallas Stars,San Jose Sharks,home,W,2018-12-07,3,2
Edmonton Oilers,Minnesota Wild,home,W,2018-12-07,7,2
Winnipeg Jets,St Louis Blues,home,L,2018-12-07,0,1
Arizona Coyotes,San Jose Sharks,home,L,2018-12-08,3,5
Boston Bruins,Toronto Maple Leafs,home,W,2018-12-08,6,3
Buffalo Sabres,Philadelphia Flyers,home,L,2018-12-08,2,6
Columbus Blue Jackets,Washington Capitals,home,L,2018-12-08,0,4
Calgary Flames,Nashville Predators,home,W,2018-12-08,5,2
Detroit Red Wings,New York Islanders,home,L,2018-12-08,2,3
Florida Panthers,New York Rangers,home,L,2018-12-08,4,5
Los Angeles Kings,Vegas Golden Knights,home,W,2018-12-08,5,1
Ottawa Senators,Pittsburgh Penguins,home,W,2018-12-08,2,1
Tampa Bay Lightning,Colorado Avalanche,home,W,2018-12-08,7,1
Anaheim Ducks,New Jersey Devils,home,W,2018-12-09,6,5
Chicago Blackhawks,Montreal Canadiens,home,L,2018-12-09,2,3
Edmonton Oilers,Calgary Flames,home,W,2018-12-09,1,0
Ottawa Senators,Boston Bruins,home,L,2018-12-09,1,2
St Louis Blues,Vancouver Canucks,home,L,2018-12-09,1,6
Vegas Golden Knights,Dallas Stars,home,W,2018-12-09,4,2
Winnipeg Jets,Philadelphia Flyers,home,W,2018-12-09,7,1
Detroit Red Wings,Los Angeles Kings,home,W,2018-12-10,3,1
New York Islanders,Pittsburgh Penguins,home,L,2018-12-10,1,2
San Jose Sharks,New Jersey Devils,home,W,2018-12-10,5,2
Tampa Bay Lightning,New York Rangers,home,W,2018-12-10,6,3
Boston Bruins,Arizona Coyotes,home,W,2018-12-11,4,3
Buffalo Sabres,Los Angeles Kings,home,W,2018-12-11,4,3
Carolina Hurricanes,Toronto Maple Leafs,home,L,2018-12-11,1,4
Columbus Blue Jackets,Vancouver Canucks,home,L,2018-12-11,2,3
Colorado Avalanche,Edmonton Oilers,home,L,2018-12-11,4,6
Minnesota Wild,Montreal Canadiens,home,W,2018-12-11,7,1
Nashville Predators,Ottawa Senators,home,W,2018-12-11,3,1
St Louis Blues,Florida Panthers,home,W,2018-12-11,4,3
Winnipeg Jets,Chicago Blackhawks,home,W,2018-12-11,6,3
Washington Capitals,Detroit Red Wings,home,W,2018-12-11,6,2
Anaheim Ducks,Dallas Stars,home,W,2018-12-12,6,3
Calgary Flames,Philadelphia Flyers,home,W,2018-12-12,6,5
Chicago Blackhawks,Pittsburgh Penguins,home,W,2018-12-12,6,3
New York Islanders,Vegas Golden Knights,home,L,2018-12-12,2,3
Buffalo Sabres,Arizona Coyotes,home,W,2018-12-13,3,1
Columbus Blue Jackets,Los Angeles Kings,home,W,2018-12-13,4,1
Minnesota Wild,Florida Panthers,home,W,2018-12-13,5,1
Montreal Canadiens,Carolina Hurricanes,home,W,2018-12-13,6,4
Nashville Predators,Vancouver Canucks,home,W,2018-12-13,4,3
San Jose Sharks,Dallas Stars,home,W,2018-12-13,3,2
Tampa Bay Lightning,Toronto Maple Leafs,home,W,2018-12-13,4,1
Winnipeg Jets,Edmonton Oilers,home,W,2018-12-13,5,4
Carolina Hurricanes,Washington Capitals,home,L,2018-12-14,5,6
Chicago Blackhawks,Winnipeg Jets,home,L,2018-12-14,3,4
Detroit Red Wings,Ottawa Senators,home,L,2018-12-14,2,4
Edmonton Oilers,Philadelphia Flyers,home,W,2018-12-14,4,1
New Jersey Devils,Vegas Golden Knights,home,W,2018-12-14,5,4
New York Rangers,Arizona Coyotes,home,L,2018-12-14,3,4
Pittsburgh Penguins,Boston Bruins,home,W,2018-12-14,5,3
St Louis Blues,Colorado Avalanche,home,W,2018-12-14,4,3
Columbus Blue Jackets,Anaheim Ducks,home,L,2018-12-15,1,2
Colorado Avalanche,Dallas Stars,home,W,2018-12-15,6,4
Florida Panthers,Toronto Maple Leafs,home,W,2018-12-15,4,3
Minnesota Wild,Calgary Flames,home,L,2018-12-15,1,2
Montreal Canadiens,Ottawa Senators,home,W,2018-12-15,5,2
Nashville Predators,New Jersey Devils,home,W,2018-12-15,2,1
New York Islanders,Detroit Red Wings,home,W,2018-12-15,4,3
Pittsburgh Penguins,Los Angeles Kings,home,W,2018-12-15,4,3
Vancouver Canucks,Philadelphia Flyers,home,W,2018-12-15,5,1
Washington Capitals,Buffalo Sabres,home,W,2018-12-15,4,3
Boston Bruins,Buffalo Sabres,home,L,2018-12-16,2,4
Carolina Hurricanes,Arizona Coyotes,home,W,2018-12-16,3,0
Chicago Blackhawks,San Jose Sharks,home,L,2018-12-16,3,7
New York Rangers,Vegas Golden Knights,home,L,2018-12-16,3,4
St Louis Blues,Calgary Flames,home,L,2018-12-16,2,7
Vancouver Canucks,Edmonton Oilers,home,W,2018-12-16,4,2
Winnipeg Jets,Tampa Bay Lightning,home,W,2018-12-16,5,4
Columbus Blue Jackets,Vegas Golden Knights,home,W,2018-12-17,1,0
Colorado Avalanche,New York Islanders,home,L,2018-12-17,1,4
Montreal Canadiens,Boston Bruins,home,L,2018-12-17,0,4
Ottawa Senators,Nashville Predators,home,W,2018-12-17,4,3
Pittsburgh Penguins,Anaheim Ducks,home,L,2018-12-17,2,4
Arizona Coyotes,New York Islanders,home,L,2018-12-18,1,3
Buffalo Sabres,Florida Panthers,home,L,2018-12-18,2,5
Chicago Blackhawks,Nashville Predators,home,W,2018-12-18,2,1
Dallas Stars,Calgary Flames,home,W,2018-12-18,2,0
Edmonton Oilers,St Louis Blues,home,L,2018-12-18,1,4
Los Angeles Kings,Winnipeg Jets,home,W,2018-12-18,4,1
Minnesota Wild,San Jose Sharks,home,L,2018-12-18,0,4
New Jersey Devils,Toronto Maple Leafs,home,L,2018-12-18,2,7
New York Rangers,Anaheim Ducks,home,W,2018-12-18,3,1
Philadelphia Flyers,Detroit Red Wings,home,W,2018-12-18,3,2
Vancouver Canucks,Tampa Bay Lightning,home,L,2018-12-18,2,5
Colorado Avalanche,Montreal Canadiens,home,W,2018-12-19,2,1
Washington Capitals,Pittsburgh Penguins,home,L,2018-12-19,1,2
Arizona Coyotes,Montreal Canadiens,home,L,2018-12-20,1,2
Boston Bruins,Anaheim Ducks,home,W,2018-12-20,3,1
Carolina Hurricanes,Detroit Red Wings,home,L,2018-12-20,1,4
Columbus Blue Jackets,New Jersey Devils,home,W,2018-12-20,2,1
Calgary Flames,Tampa Bay Lightning,home,L,2018-12-20,4,5
Dallas Stars,Chicago Blackhawks,home,L,2018-12-20,2,5
Philadelphia Flyers,Nashville Predators,home,W,2018-12-20,2,1
Pittsburgh Penguins,Minnesota Wild,home,W,2018-12-20,2,1
San Jose Sharks,Winnipeg Jets,home,L,2018-12-20,3,5
Toronto Maple Leafs,Florida Panthers,home,W,2018-12-20,6,1
Vancouver Canucks,St Louis Blues,home,W,2018-12-20,5,1
Vegas Golden Knights,New York Islanders,home,W,2018-12-20,4,2
Colorado Avalanche,Chicago Blackhawks,home,L,2018-12-21,1,2
New Jersey Devils,Ottawa Senators,home,W,2018-12-21,5,2
Washington Capitals,Buffalo Sabres,home,W,2018-12-21,2,1
Arizona Coyotes,Colorado Avalanche,home,W,2018-12-22,6,4
Boston Bruins,Nashville Predators,home,W,2018-12-22,5,2
Buffalo Sabres,Anaheim Ducks,home,W,2018-12-22,3,0
Carolina Hurricanes,Pittsburgh Penguins,home,L,2018-12-22,0,3
Calgary Flames,St Louis Blues,home,L,2018-12-22,1,3
Detroit Red Wings,Florida Panthers,home,L,2018-12-22,1,2
Edmonton Oilers,Tampa Bay Lightning,home,L,2018-12-22,3,6
Minnesota Wild,Dallas Stars,home,L,2018-12-22,1,2
Ottawa Senators,Washington Capitals,home,L,2018-12-22,0,4
Philadelphia Flyers,Columbus Blue Jackets,home,L,2018-12-22,3,4
San Jose Sharks,Los Angeles Kings,home,L,2018-12-22,2,3
Toronto Maple Leafs,New York Rangers,home,W,2018-12-22,5,3
Vancouver Canucks,Winnipeg Jets,home,L,2018-12-22,0,1
Vegas Golden Knights,Montreal Canadiens,home,L,2018-12-22,3,4
Carolina Hurricanes,Boston Bruins,home,W,2018-12-23,5,3
Chicago Blackhawks,Florida Panthers,home,L,2018-12-23,3,6
Dallas Stars,New York Islanders,home,L,2018-12-23,1,3
New Jersey Devils,Columbus Blue Jackets,home,L,2018-12-23,0,3
New York Rangers,Philadelphia Flyers,home,L,2018-12-23,2,3
San Jose Sharks,Arizona Coyotes,home,L,2018-12-23,3,4
Toronto Maple Leafs,Detroit Red Wings,home,W,2018-12-23,5,4
Vegas Golden Knights,Los Angeles Kings,home,L,2018-12-23,3,4
Boston Bruins,New Jersey Devils,home,L,2018-12-27,2,5
Chicago Blackhawks,Minnesota Wild,home,W,2018-12-27,5,2
Edmonton Oilers,Vancouver Canucks,home,L,2018-12-27,2,4
Los Angeles Kings,Arizona Coyotes,home,W,2018-12-27,2,1
Nashville Predators,Dallas Stars,home,L,2018-12-27,0,2
New York Rangers,Columbus Blue Jackets,home,L,2018-12-27,3,4
Pittsburgh Penguins,Detroit Red Wings,home,W,2018-12-27,5,2
San Jose Sharks,Anaheim Ducks,home,W,2018-12-27,4,2
St Louis Blues,Buffalo Sabres,home,W,2018-12-27,4,1
Tampa Bay Lightning,Philadelphia Flyers,home,W,2018-12-27,6,5
Vegas Golden Knights,Colorado Avalanche,home,W,2018-12-27,2,1
Winnipeg Jets,Calgary Flames,home,L,2018-12-27,1,4
Washington Capitals,Carolina Hurricanes,home,W,2018-12-27,3,1
Columbus Blue Jackets,Toronto Maple Leafs,home,L,2018-12-28,2,4
Florida Panthers,Montreal Canadiens,home,L,2018-12-28,3,5
New York Islanders,Ottawa Senators,home,W,2018-12-28,6,3
Anaheim Ducks,Arizona Coyotes,home,L,2018-12-29,4,5
Buffalo Sabres,Boston Bruins,home,L,2018-12-29,2,3
Calgary Flames,Vancouver Canucks,home,L,2018-12-29,2,3
Colorado Avalanche,Chicago Blackhawks,home,L,2018-12-29,2,3
Dallas Stars,Detroit Red Wings,home,W,2018-12-29,5,1
Edmonton Oilers,San Jose Sharks,home,L,2018-12-29,4,7
Florida Panthers,Philadelphia Flyers,home,W,2018-12-29,2,1
Los Angeles Kings,Vegas Golden Knights,home,L,2018-12-29,1,4
New Jersey Devils,Carolina Hurricanes,home,W,2018-12-29,2,0
Nashville Predators,New York Rangers,home,L,2018-12-29,3,4
Ottawa Senators,Washington Capitals,home,L,2018-12-29,2,3
St Louis Blues,Pittsburgh Penguins,home,L,2018-12-29,1,6
Tampa Bay Lightning,Montreal Canadiens,home,W,2018-12-29,6,5
Toronto Maple Leafs,New York Islanders,home,L,2018-12-29,0,4
Winnipeg Jets,Minnesota Wild,home,L,2018-12-29,1,3
Arizona Coyotes,Vegas Golden Knights,home,L,2018-12-30,1,5
Anaheim Ducks,Tampa Bay Lightning,home,L,2018-12-31,1,2
Buffalo Sabres,New York Islanders,home,L,2018-12-31,1,3
Carolina Hurricanes,Philadelphia Flyers,home,W,2018-12-31,3,1
Columbus Blue Jackets,Ottawa Senators,home,W,2018-12-31,6,3
Calgary Flames,San Jose Sharks,home,W,2018-12-31,8,5
Colorado Avalanche,Los Angeles Kings,home,L,2018-12-31,2,3
Dallas Stars,Montreal Canadiens,home,L,2018-12-31,2,3
Detroit Red Wings,Florida Panthers,home,L,2018-12-31,3,4
Edmonton Oilers,Winnipeg Jets,home,L,2018-12-31,3,4
Minnesota Wild,Pittsburgh Penguins,home,L,2018-12-31,2,3
New Jersey Devils,Vancouver Canucks,home,W,2018-12-31,4,0
St Louis Blues,New York Rangers,home,L,2018-12-31,1,2
Washington Capitals,Nashville Predators,home,L,2018-12-31,3,6
Chicago Blackhawks,Boston Bruins,home,L,2019-01-01,2,4
Nashville Predators,Philadelphia Flyers,home,W,2019-01-01,4,0
Vegas Golden Knights,Los Angeles Kings,home,W,2019-01-01,2,0
Arizona Coyotes,Edmonton Oilers,home,L,2019-01-02,1,3
Colorado Avalanche,San Jose Sharks,home,L,2019-01-02,4,5
Dallas Stars,New Jersey Devils,home,W,2019-01-02,5,4
Detroit Red Wings,Calgary Flames,home,L,2019-01-02,3,5
New York Rangers,Pittsburgh Penguins,home,L,2019-01-02,2,7
Ottawa Senators,Vancouver Canucks,home,L,2019-01-02,3,4
Boston Bruins,Calgary Flames,home,W,2019-01-03,6,4
Buffalo Sabres,Florida Panthers,home,W,2019-01-03,4,3
Los Angeles Kings,Tampa Bay Lightning,home,L,2019-01-03,2,6
Montreal Canadiens,Vancouver Canucks,home,W,2019-01-03,2,0
New York Islanders,Chicago Blackhawks,home,W,2019-01-03,3,2
Philadelphia Flyers,Carolina Hurricanes,home,L,2019-01-03,3,5
St Louis Blues,Washington Capitals,home,W,2019-01-03,5,2
Toronto Maple Leafs,Minnesota Wild,home,L,2019-01-03,3,4
Anaheim Ducks,Vegas Golden Knights,home,L,2019-01-04,2,3
Arizona Coyotes,New Jersey Devils,home,L,2019-01-04,2,3
Carolina Hurricanes,Columbus Blue Jackets,home,W,2019-01-04,4,2
Colorado Avalanche,New York Rangers,home,W,2019-01-04,6,1
Dallas Stars,Washington Capitals,home,W,2019-01-04,2,1
Detroit Red Wings,Nashville Predators,home,W,2019-01-04,4,3
Pittsburgh Penguins,Winnipeg Jets,home,W,2019-01-04,4,0
Boston Bruins,Buffalo Sabres,home,W,2019-01-05,2,1
Florida Panthers,Columbus Blue Jackets,home,L,2019-01-05,3,4
Los Angeles Kings,Edmonton Oilers,home,W,2019-01-05,4,0
Montreal Canadiens,Nashville Predators,home,L,2019-01-05,1,4
Ottawa Senators,Minnesota Wild,home,L,2019-01-05,3,4
Philadelphia Flyers,Calgary Flames,home,L,2019-01-05,2,3
San Jose Sharks,Tampa Bay Lightning,home,W,2019-01-05,5,2
St Louis Blues,New York Islanders,home,L,2019-01-05,3,4
Toronto Maple Leafs,Vancouver Canucks,home,W,2019-01-05,5,0
Anaheim Ducks,Edmonton Oilers,home,L,2019-01-06,0,4
Arizona Coyotes,New York Rangers,home,W,2019-01-06,5,0
Detroit Red Wings,Washington Capitals,home,L,2019-01-06,2,3
Ottawa Senators,Carolina Hurricanes,home,L,2019-01-06,4,5
Pittsburgh Penguins,Chicago Blackhawks,home,L,2019-01-06,3,5
Vegas Golden Knights,New Jersey Devils,home,W,2019-01-06,3,2
Winnipeg Jets,Dallas Stars,home,W,2019-01-06,5,1
Chicago Blackhawks,Calgary Flames,home,L,2019-01-07,3,4
Montreal Canadiens,Minnesota Wild,home,L,2019-01-07,0,1
Philadelphia Flyers,St Louis Blues,home,L,2019-01-07,0,3
San Jose Sharks,Los Angeles Kings,home,W,2019-01-07,3,1
Toronto Maple Leafs,Nashville Predators,home,L,2019-01-07,0,4
Boston Bruins,Minnesota Wild,home,W,2019-01-08,4,0
Buffalo Sabres,New Jersey Devils,home,W,2019-01-08,5,1
Detroit Red Wings,Montreal Canadiens,home,L,2019-01-08,2,3
New York Islanders,Carolina Hurricanes,home,L,2019-01-08,3,4
Pittsburgh Penguins,Florida Panthers,home,W,2019-01-08,5,1
San Jose Sharks,Edmonton Oilers,home,W,2019-01-08,7,2
St Louis Blues,Dallas Stars,home,L,2019-01-08,1,3
Tampa Bay Lightning,Columbus Blue Jackets,home,W,2019-01-08,4,0
Vegas Golden Knights,New York Rangers,home,W,2019-01-08,4,2
Winnipeg Jets,Colorado Avalanche,home,W,2019-01-08,7,4
Washington Capitals,Philadelphia Flyers,home,W,2019-01-08,5,3
Anaheim Ducks,Ottawa Senators,home,L,2019-01-09,1,2
