Name% Location% Arena%
Minnesota Timberwolves%	Minneapolis, Minnesota%	Target Center%
Oklahoma City Thunder%	Oklahoma City, Oklahoma%	Chesapeake Energy Arena%
Portland Trail Blazers%	Portland, Oregon%	Moda Center%
Utah Jazz%	Salt Lake City, Utah%	Vivint Smart Home Arena%
Golden State Warriors%	San Francisco, California%	Chase Center%
Los Angeles Clippers%	Los Angeles, California%	Staples Center%
Los Angeles Lakers%	Los Angeles, California%	Staples Center%
Phoenix Suns%	Phoenix, Arizona%	Talking Stick Resort Arena%
Sacramento Kings%	Sacramento, California%	Golden 1 Center%
Dallas Mavericks%	Dallas, Texas%	American Airlines Center%
Houston Rockets%	Houston, Texas%	Toyota Center%
Memphis Grizzlies%	Memphis, Tennessee%	FedExForum%
New Orleans Pelicans%	New Orleans, Louisiana%	Smoothie King Center%
San Antonio Spurs%	San Antonio, Texas%	AT&T Center%
Edmonton Stingers%	Edmonton, Alberta%	Edmonton Expo Centre%
Fraser Valley Bandits%	Abbotsford, British Columbia%	Abbotsford Centre%
Guelph Nighthawks%	Guelph, Ontario%	Sleeman Centre%
Hamilton Honey Badgers%	Hamilton, Ontario%	FirstOntario Centre%
Niagara River Lions%	St. Catharines, Ontario%	Meridian Centre%
Ottawa Blackjacks%	Ottawa, Ontario%	TD Place Arena%
Saskatchewan Rattlers%	Saskatoon, Saskatchewan%	SaskTel Centre%
Central	KW Titans%	Kitchener, Ontario%	Kitchener Memorial Auditorium%
London Lightning%	London, Ontario%	Budweiser Gardens%
Sudbury Five%	Sudbury, Ontario%	Sudbury Community Arena%
Windsor Express%	Windsor, Ontario%	WFCU Centre%
Halifax Hurricanes%	Halifax, Nova Scotia%	Scotiabank Centre%
Island Storm%	Charlottetown, Prince Edward Island%	Eastlink Centre%
Moncton Magic%	Moncton, New Brunswick%	Moncton Coliseum%
St. John's Edge%	St. John's, Newfoundland and Labrador%	Mile One Centre%
Delaware Blue Coats%	Wilmington, Delaware%	76ers Fieldhouse%
Long Island Nets%	Uniondale, New York%	Nassau Veterans Memorial Coliseum%
Maine Red Claws%	Portland, Maine%	Portland Exposition Building%
Raptors 905%	Mississauga, Ontario%	Paramount Fine Foods Centre%
Westchester Knicks%	White Plains, New York%	Westchester County Center%
Canton Charge%	Canton, Ohio%	Canton Memorial Civic Center%
Fort Wayne Mad Ants%	Fort Wayne, Indiana%	Allen County War Memorial Coliseum%
Grand Rapids Drive%	Walker, Michigan%	DeltaPlex Arena%
Windy City Bulls%	Hoffman Estates, Illinois%	Sears Centre%
Wisconsin Herd%	Oshkosh, Wisconsin%	Menominee Nation Arena%
Capital City Go-Go%	Washington, D.C.%	St. Elizabeths East Entertainment and Sports Arena%
College Park Skyhawks%	College Park, Georgia%	Gateway Center Arena%
Erie BayHawks[a]%	Erie, Pennsylvania%	Erie Insurance Arena%
Greensboro Swarm%	Greensboro, North Carolina%	Greensboro Coliseum Pavilion%
Lakeland Magic%	Lakeland, Florida%	RP Funding Center%
